n_sessions,help_seeking,sleep_hrs,self_sufficiency,age,gender,resilience_change
9,No,7,25,44,m,6
6,No,4,25,39,f,9
5,No,6,25,23,f,15
3,Yes,8,23,47,f,20
9,Yes,6,22,35,m,0
5,No,8,20,27,m,16
5,Yes,8,21,19,f,15
4,Yes,9,21,54,m,19
4,Yes,6,29,23,f,16
1,Yes,9,26,48,m,24
7,Yes,9,25,43,f,8
9,Yes,5,27,49,f,3
3,Yes,5,28,29,f,21
2,Yes,9,24,52,m,19
3,Yes,9,22,52,f,19
1,Yes,8,23,24,m,27
6,Yes,9,27,30,f,12
7,Yes,4,22,25,f,10
2,No,6,21,39,m,22
8,Yes,4,26,40,f,6
6,Yes,5,23,35,f,8
4,No,4,27,53,m,14
5,No,7,20,18,f,18
8,No,7,27,47,f,8
3,Yes,5,24,35,f,22
3,Yes,4,21,47,m,20
4,No,6,20,20,f,18
1,No,5,25,45,m,24
9,No,7,28,44,f,5
8,Yes,5,28,41,m,9
8,Yes,4,28,45,f,7
6,No,4,23,54,f,12
7,Yes,4,25,51,m,9
6,Yes,8,29,25,f,7
9,No,4,25,27,m,6
3,No,9,24,38,f,17
3,No,7,21,45,f,22
3,Yes,7,26,46,m,17
3,Yes,8,20,50,m,19
9,Yes,7,25,42,m,-1
4,Yes,7,24,29,f,20
7,Yes,5,24,22,f,6
9,No,4,27,35,f,3
7,Yes,9,28,19,f,6
9,Yes,9,26,55,m,1
3,No,5,29,35,m,20
4,No,9,27,33,f,16
8,No,5,21,19,f,10
6,No,9,21,26,f,11
5,Yes,7,27,33,m,13
4,Yes,6,25,51,f,18
8,No,4,27,51,m,7
1,Yes,6,28,54,f,22
9,No,7,28,53,f,4
1,Yes,8,25,54,m,27
8,Yes,5,27,55,f,7
4,Yes,9,21,52,f,21
9,No,9,27,42,f,-2
5,No,7,22,19,m,17
3,Yes,9,20,23,m,17
9,Yes,7,26,23,m,5
9,No,6,20,27,f,6
4,No,8,20,21,f,17
4,Yes,5,20,41,m,17
8,Yes,9,23,38,m,4
2,No,8,23,43,f,26
9,Yes,8,29,18,m,1
6,No,8,25,52,m,8
9,No,4,29,51,m,3
8,Yes,8,22,50,f,0
7,Yes,7,29,52,m,6
1,Yes,4,25,55,m,24
3,No,4,26,45,f,20
2,No,8,20,23,m,24
5,No,9,25,48,m,14
5,Yes,9,29,34,m,10
5,Yes,9,20,33,m,14
4,No,9,26,36,f,15
5,No,7,29,51,f,15
3,Yes,9,24,45,f,17
1,No,5,29,43,m,26
5,Yes,8,23,50,f,12
9,Yes,4,20,27,m,3
9,No,5,28,46,m,2
4,No,9,26,36,f,16
3,No,5,21,34,m,22
1,No,4,23,43,m,32
2,No,9,23,48,m,22
8,Yes,5,27,51,f,3
1,No,7,21,40,m,29
8,Yes,7,24,46,m,6
7,No,8,29,50,m,8
8,No,8,27,49,m,4
6,No,5,25,55,m,12
9,No,4,23,19,f,7
3,No,7,24,42,f,17
4,No,6,21,32,m,21
6,Yes,8,24,21,f,12
8,No,7,22,29,m,9
5,No,9,22,36,f,13
3,No,5,26,42,m,19
6,No,7,22,23,f,12
4,Yes,7,23,48,m,20
9,Yes,5,26,45,m,5
3,Yes,8,22,29,f,18
4,Yes,8,29,25,m,15
7,Yes,6,29,32,m,8
7,Yes,6,21,29,m,11
4,No,8,29,44,f,16
6,No,8,26,45,m,9
3,Yes,8,24,31,f,20
6,No,8,20,35,f,11
2,No,7,29,43,m,26
8,No,6,27,19,m,3
2,No,5,22,42,m,25
7,No,4,26,55,f,11
9,Yes,5,25,31,f,3
1,Yes,9,29,55,f,23
8,Yes,4,25,40,f,9
7,Yes,7,27,42,f,8
6,Yes,9,23,53,f,11
6,Yes,6,23,45,f,14
6,No,4,22,25,f,14
9,Yes,8,20,31,m,5
2,No,9,29,23,m,24
1,No,7,22,18,m,25
6,Yes,4,20,20,f,13
8,Yes,8,25,20,f,5
3,Yes,9,27,19,m,23
1,No,7,22,45,m,26
9,Yes,9,23,29,f,0
1,Yes,4,24,33,m,24
3,Yes,8,26,25,m,16
8,No,6,25,45,f,8
3,Yes,7,21,28,m,21
4,Yes,4,26,43,f,18
8,No,8,27,51,m,5
1,No,6,20,41,m,27
6,No,9,25,21,f,8
1,Yes,8,28,37,f,24
1,Yes,6,26,37,m,23
8,No,4,24,24,f,9
4,Yes,8,29,19,f,16
1,No,8,29,43,m,25
7,No,5,28,29,f,9
5,No,7,21,40,f,17
5,No,8,26,45,f,9
1,No,6,28,40,m,25
6,Yes,7,21,28,f,14
9,Yes,4,29,53,f,5
9,Yes,7,25,33,m,2
8,Yes,5,28,35,m,4
5,No,4,22,31,m,14
1,Yes,8,27,43,f,24
9,No,9,24,53,f,0
1,No,4,26,53,m,26
8,Yes,4,22,51,m,7
5,Yes,5,27,46,f,15
3,No,6,21,23,m,22
7,Yes,4,27,54,f,9
7,Yes,6,21,38,m,9
9,Yes,7,26,24,f,1
7,Yes,9,21,38,f,4
3,No,5,26,36,f,23
1,No,8,20,42,f,26
8,Yes,4,25,24,m,6
3,No,9,29,30,m,18
8,No,9,26,32,m,2
8,Yes,6,23,50,m,7
5,Yes,4,20,54,m,15
1,No,9,25,28,m,22
7,No,5,23,36,m,10
5,No,8,22,49,f,15
8,Yes,7,23,31,m,4
9,No,7,25,25,m,3
7,No,6,24,53,f,10
7,Yes,9,21,29,f,7
1,No,7,21,34,f,25
4,Yes,6,22,18,m,18
2,Yes,8,25,18,f,21
2,No,4,20,46,m,21
2,Yes,5,26,44,m,21
4,Yes,8,27,53,f,17
1,No,8,26,29,m,25
4,Yes,7,22,28,f,16
2,No,7,25,49,m,24
5,Yes,5,23,52,f,13
3,Yes,4,24,43,f,22
8,No,8,22,53,f,4
4,No,9,24,52,f,12
1,No,7,25,37,m,25
1,Yes,8,27,53,f,23
3,No,4,25,50,m,21
9,Yes,6,28,45,f,4
7,No,4,29,52,f,11
2,Yes,8,29,40,m,20
9,No,8,29,32,f,1
2,Yes,5,29,22,m,23
3,No,8,23,46,f,18
2,Yes,7,21,55,f,22
3,Yes,9,28,25,m,13
6,Yes,5,22,54,f,14
9,Yes,8,26,35,m,3
9,No,4,23,36,m,1
7,Yes,8,20,19,f,5
3,No,4,27,24,f,23
4,Yes,4,23,31,f,19
6,No,8,25,49,f,11
5,Yes,4,26,51,m,11
2,Yes,9,27,20,f,21
6,No,6,29,20,m,11
3,No,5,21,36,f,22
8,Yes,8,28,54,m,3
2,No,6,29,39,m,22
1,No,4,22,47,m,24
9,No,4,20,22,f,3
3,Yes,5,21,26,m,23
1,No,6,27,38,f,26
7,Yes,6,29,18,m,8
5,No,8,25,37,m,14
5,No,4,20,23,f,15
1,Yes,7,28,39,m,21
9,No,8,26,21,f,4
7,No,8,29,54,m,8
8,No,8,22,44,m,4
9,No,5,26,37,f,1
6,No,5,25,33,f,13
5,No,8,22,47,m,14
6,No,9,27,38,m,11
2,Yes,7,20,44,m,21
4,Yes,6,24,46,m,18
3,Yes,6,27,26,f,19
7,Yes,4,22,45,f,11
9,Yes,6,29,28,m,4
5,No,6,25,32,f,16
6,Yes,7,29,34,f,11
2,Yes,6,21,35,m,20
3,No,7,28,21,f,20
3,Yes,5,21,25,m,21
9,No,7,24,30,f,4
7,No,5,22,37,m,8
8,Yes,7,29,47,m,2
9,Yes,8,28,47,m,-1
6,No,9,28,45,m,11
4,No,5,26,49,m,19
1,Yes,5,29,42,f,27
8,No,6,24,38,m,5
7,Yes,5,28,53,f,9
2,Yes,7,26,21,m,20
8,Yes,8,21,51,f,7
5,Yes,8,29,19,m,13
7,No,6,20,43,f,11
4,No,7,29,35,m,17
5,Yes,7,29,25,f,16
8,Yes,4,23,39,f,10
1,No,5,29,38,f,24
1,No,6,27,23,f,27
4,No,8,25,30,m,16
3,No,9,21,33,m,20
2,No,4,24,34,m,25
3,Yes,7,28,18,m,20
1,Yes,5,25,46,m,27
1,Yes,8,25,26,f,23
6,Yes,4,26,21,f,14
5,No,7,24,21,m,15
8,No,8,22,47,f,5
2,Yes,8,22,35,f,21
4,Yes,7,24,24,m,14
8,No,7,23,20,f,6
6,Yes,6,24,21,f,14
1,Yes,8,28,46,m,23
4,No,7,24,48,f,17
1,No,9,23,25,f,22
2,No,9,23,20,f,22
5,Yes,4,20,36,m,14
8,No,5,29,32,f,7
8,No,9,23,32,f,2
3,Yes,6,23,38,f,20
4,No,7,28,21,m,16
6,Yes,5,23,51,f,15
3,Yes,6,26,32,m,18
2,Yes,8,20,21,m,23
6,Yes,5,26,21,f,11
5,No,9,21,52,f,14
5,Yes,6,27,35,f,12
5,No,7,20,23,m,15
5,No,7,29,30,f,13
3,No,6,22,39,m,17
7,No,8,27,18,m,12
6,No,9,29,32,m,10
4,Yes,6,27,41,f,17
2,No,4,24,39,f,26
9,Yes,6,24,25,m,2
1,Yes,6,27,25,m,27
4,Yes,9,29,27,m,17
1,No,7,24,31,f,25
6,No,8,28,24,f,12
4,No,6,20,22,m,17
5,No,5,24,18,m,17
5,Yes,7,22,32,m,15
9,No,7,22,35,f,5
1,No,6,21,44,m,29
2,Yes,9,22,48,m,22
6,Yes,5,26,34,f,13
5,Yes,6,27,28,m,13
7,Yes,5,27,40,f,12
3,Yes,7,27,28,m,20
3,Yes,5,20,27,f,18
2,Yes,6,26,33,m,25
3,No,4,21,44,m,24
1,No,4,29,37,m,24
5,Yes,5,23,37,f,15
5,Yes,9,24,46,m,16
7,No,6,20,40,f,8
4,Yes,8,23,30,f,14
3,Yes,4,23,46,f,21
1,Yes,7,28,20,m,26
8,Yes,6,28,18,m,8
3,Yes,6,29,37,m,20
2,No,4,20,34,f,28
4,Yes,8,27,49,f,15
3,Yes,7,23,41,m,18
1,Yes,8,23,32,m,27
3,No,7,24,51,f,19
2,No,4,21,47,f,28
8,Yes,6,20,49,f,8
6,Yes,7,24,45,f,15
9,Yes,6,26,39,f,3
8,Yes,5,29,43,f,3
3,No,5,28,31,m,21
5,No,4,21,32,m,16
7,Yes,4,27,29,f,10
5,Yes,9,26,20,m,12
8,No,4,21,53,m,6
5,No,5,24,51,f,15
1,Yes,7,26,50,m,26
5,Yes,8,22,41,m,13
4,Yes,4,21,46,m,15
6,No,8,25,37,m,10
3,No,8,29,32,m,22
5,No,5,25,50,m,11
2,No,9,23,51,m,24
6,Yes,7,20,42,m,13
6,No,5,24,24,m,10
5,No,4,20,20,f,17
6,No,5,27,54,f,11
7,Yes,5,21,53,m,9
5,No,5,28,42,f,13
1,No,4,28,26,f,23
8,No,4,22,30,m,8
4,Yes,5,25,38,m,17
9,No,5,28,36,f,5
6,Yes,8,26,50,m,8
1,Yes,7,23,40,f,25
3,No,8,22,35,m,17
3,Yes,9,21,55,m,18
4,No,7,29,37,m,13
6,Yes,9,29,34,m,10
7,Yes,7,20,54,m,9
4,No,5,29,34,f,17
6,No,8,20,37,f,13
1,Yes,7,23,46,m,29
8,Yes,9,23,37,m,4
7,Yes,7,28,25,f,11
9,Yes,4,29,24,f,2
3,No,7,20,29,m,19
2,Yes,5,23,35,m,24
1,Yes,6,22,45,f,25
3,No,4,28,32,m,20
5,Yes,6,24,39,m,13
2,No,5,28,31,f,23
3,No,6,29,45,f,22
4,No,7,25,40,m,20
7,Yes,6,28,52,f,8
3,No,8,20,54,f,24
9,No,5,23,41,f,4
8,No,8,23,48,m,5
4,Yes,6,29,38,m,17
1,Yes,8,29,18,m,22
1,Yes,4,25,34,m,26
1,Yes,6,29,48,f,26
1,No,9,20,31,f,26
8,No,8,29,19,f,2
3,No,7,24,42,f,24
6,Yes,6,22,32,m,12
3,No,9,20,33,f,19
5,Yes,4,25,38,f,17
7,Yes,7,22,32,f,10
2,Yes,6,23,34,m,21
6,No,7,28,47,m,7
6,No,6,21,51,f,13
3,Yes,6,20,19,m,21
6,No,5,29,25,f,10
5,Yes,8,25,33,f,15
2,No,6,20,22,m,24
9,Yes,4,20,26,m,2
8,Yes,9,26,24,f,-1
3,Yes,8,21,43,m,22
8,No,5,23,21,m,9
9,No,8,23,52,m,4
3,No,8,21,39,m,21
3,No,6,25,40,m,18
2,No,4,29,47,m,23
8,Yes,6,21,34,m,4
1,No,4,27,42,f,26
8,Yes,4,23,47,m,7
7,No,7,20,26,m,9
7,No,6,26,50,f,14
3,No,5,25,18,f,21
1,Yes,9,25,49,f,24
4,No,8,22,48,m,20
9,Yes,7,29,42,f,-2
5,No,5,26,33,f,15
1,Yes,9,25,27,f,23
5,Yes,9,29,42,f,10
8,Yes,6,29,19,m,6
8,Yes,4,28,22,f,6
5,No,6,22,22,f,19
9,No,9,22,28,f,1
1,Yes,6,23,22,f,27
4,No,7,22,19,m,18
3,Yes,5,23,30,f,19
2,No,9,25,37,f,18
8,No,7,20,37,m,8
7,No,5,21,43,m,12
9,Yes,7,29,38,f,0
2,No,8,25,23,f,21
4,Yes,4,25,52,m,20
6,No,4,20,39,f,13
3,Yes,4,25,24,f,21
8,No,8,28,40,m,4
3,Yes,9,27,43,f,17
2,Yes,9,29,30,f,17
3,Yes,8,24,27,f,20
6,No,4,23,49,m,10
2,Yes,4,25,29,f,24
8,No,5,24,27,f,4
1,Yes,5,25,23,f,25
7,Yes,6,29,43,m,5
2,Yes,7,22,30,m,21
6,No,5,26,21,m,13
2,No,5,27,25,f,22
2,No,5,24,54,m,26
8,No,5,24,28,f,7
2,No,8,23,22,f,25
7,No,6,29,19,m,8
3,No,5,24,55,f,21
8,Yes,9,29,31,m,5
7,Yes,7,27,21,m,7
8,No,5,24,23,m,5
7,No,8,28,42,m,10
6,No,9,20,40,m,10
7,No,4,26,23,m,8
5,No,4,24,31,m,17
7,Yes,6,23,31,f,14
1,No,4,22,46,f,26
1,No,5,29,26,f,26
9,No,8,26,47,f,2
5,Yes,6,21,52,m,11
5,Yes,9,24,50,m,12
3,Yes,5,21,44,f,20
5,Yes,4,26,40,m,15
3,No,7,25,53,f,21
9,Yes,5,29,35,f,2
9,Yes,7,26,38,f,2
6,Yes,9,28,24,f,12
1,Yes,7,21,39,m,27
7,Yes,9,28,24,f,6
7,No,6,26,18,f,5
4,Yes,8,21,23,f,19
8,Yes,4,29,28,f,7
6,Yes,4,21,24,m,14
4,No,5,23,33,m,17
4,No,4,21,42,m,19
2,No,6,20,20,f,26
2,No,4,25,47,f,22
4,No,5,29,42,m,19
5,No,4,24,29,m,17
8,No,8,22,47,m,8
6,No,9,20,48,m,10
4,Yes,7,28,26,m,16
7,Yes,7,27,50,f,9
8,No,9,25,37,f,4
2,Yes,7,25,51,m,19
7,No,8,23,45,f,13
2,Yes,6,21,33,m,22
2,Yes,5,23,21,m,20
8,No,8,21,40,f,3
2,Yes,5,26,45,m,24
9,No,6,28,43,f,2
1,No,8,21,32,m,26
9,Yes,4,28,41,m,3
1,No,6,28,38,m,23
2,Yes,7,27,39,m,25
6,Yes,8,20,38,f,10
6,No,6,24,42,m,12
1,No,6,29,29,f,23
7,No,8,23,39,m,6
8,No,7,26,39,m,5
2,No,9,27,18,m,22
8,Yes,7,29,49,m,2
9,No,6,27,46,m,6
6,Yes,5,21,37,m,15
5,No,9,22,22,m,14
9,Yes,9,29,32,m,1
9,Yes,6,29,28,f,2
1,Yes,8,26,37,f,24
3,Yes,8,23,42,f,19
9,Yes,8,25,54,f,-1
2,No,7,27,48,m,24
4,Yes,4,27,33,f,18
4,No,8,26,31,m,15
2,Yes,8,21,44,f,22
3,No,9,21,54,m,21
3,Yes,5,22,25,m,21
1,Yes,5,23,27,f,30
6,No,6,20,26,m,11
8,No,6,24,34,m,6
3,Yes,6,26,35,m,15
5,Yes,8,29,46,m,15
1,No,5,24,32,f,29
7,Yes,6,26,24,f,7
1,Yes,5,24,38,f,24
9,No,8,29,34,f,2
8,Yes,9,27,22,m,5
7,Yes,8,26,27,f,7
7,No,6,20,35,f,11
5,Yes,8,20,50,f,13
5,No,8,24,24,f,14
5,No,5,21,29,f,14
1,Yes,4,28,50,m,24
8,Yes,7,21,54,m,6
1,No,6,28,55,m,23
4,No,4,29,54,f,18
9,Yes,9,21,32,m,5
9,No,6,23,41,f,6
5,Yes,4,22,29,f,16
4,No,8,25,32,f,16
3,No,6,23,50,f,20
3,No,4,28,39,f,22
5,Yes,7,28,43,f,12
1,No,8,29,30,m,29
5,No,6,28,37,f,15
6,No,9,22,46,m,10
7,No,9,22,18,f,6
9,Yes,6,23,24,f,2
3,No,4,28,29,f,19
2,Yes,6,25,36,f,22
3,No,8,28,53,f,19
9,No,5,27,49,f,7
7,Yes,9,26,24,f,7
9,Yes,4,24,42,f,6
2,No,7,28,25,f,21
5,No,6,23,27,f,18
4,No,8,23,18,f,17
2,Yes,6,27,51,f,24
9,No,7,23,26,m,3
9,Yes,8,26,49,f,1
6,No,7,23,34,f,15
6,Yes,8,20,25,f,11
8,Yes,5,29,21,m,6
6,Yes,9,28,42,f,9
1,No,8,23,39,f,27
4,No,7,22,20,m,19
7,Yes,4,22,26,m,8
2,Yes,9,28,46,f,18
9,Yes,5,27,47,f,0
8,No,6,29,52,f,8
8,No,5,26,47,f,4
7,No,5,26,51,f,8
4,Yes,6,23,25,m,14
2,No,8,22,19,f,20
3,No,5,23,40,m,20
6,No,9,25,41,m,12
5,Yes,5,23,34,f,17
8,No,4,23,28,m,9
6,No,9,21,29,m,11
6,No,4,26,30,f,15
1,No,9,25,37,m,28
4,No,7,21,31,f,21
5,Yes,6,24,19,m,15
3,Yes,9,25,32,m,18
9,Yes,9,24,52,m,1
1,Yes,8,23,45,m,25
6,No,8,28,37,m,7
6,No,7,22,30,m,13
5,Yes,8,21,37,m,13
5,Yes,8,28,18,f,12
5,Yes,4,27,52,m,15
6,No,8,28,18,f,8
8,No,8,29,50,f,3
2,No,7,22,50,m,22
6,Yes,7,20,42,f,13
1,Yes,5,20,36,m,28
4,Yes,8,22,25,m,21
3,No,8,23,53,f,20
9,No,9,21,44,m,5
3,Yes,8,27,43,m,14
6,Yes,4,22,25,m,12
1,No,9,23,46,f,26
6,No,8,25,39,m,9
4,Yes,4,29,40,f,20
8,Yes,5,25,53,f,7
9,No,9,21,53,f,4
4,Yes,6,25,19,m,15
6,Yes,8,23,42,m,13
1,No,9,24,19,f,26
4,Yes,7,26,48,m,16
7,No,9,26,48,f,6
1,Yes,7,25,34,m,24
8,No,8,29,51,f,6
6,Yes,4,25,42,f,12
5,Yes,7,25,31,f,15
9,Yes,9,23,50,m,4
2,No,9,22,43,f,21
5,Yes,7,20,49,m,14
6,Yes,5,22,44,m,13
7,No,5,22,38,m,9
5,Yes,5,28,42,f,13
9,No,7,22,20,f,9
1,No,7,27,20,m,24
7,No,9,27,35,m,4
7,Yes,8,22,30,m,9
4,No,8,29,31,f,13
9,Yes,4,29,28,f,2
5,No,7,25,52,f,14
4,Yes,8,27,33,m,15
7,No,8,27,49,m,11
4,No,5,29,54,m,14
3,Yes,5,29,33,f,21
9,No,5,28,45,m,5
8,Yes,6,28,45,m,6
1,No,8,27,31,f,24
7,Yes,5,26,27,f,6
9,No,5,29,44,m,3
8,No,7,22,23,f,7
8,Yes,9,26,49,f,4
6,No,5,23,20,f,15
4,Yes,7,21,52,f,19
8,Yes,4,27,28,m,7
3,No,5,21,52,m,21
9,No,9,20,24,f,6
2,No,7,24,33,m,24
2,Yes,9,29,43,m,18
7,Yes,5,28,19,f,8
4,No,4,24,45,m,17
8,Yes,5,21,21,m,8
9,No,7,29,18,m,-1
7,No,4,23,25,m,8
5,No,4,27,31,f,15
8,Yes,4,26,25,f,5
4,Yes,6,24,26,m,19
2,No,7,23,19,m,25
6,Yes,6,24,43,m,10
9,No,9,26,23,f,-1
1,No,4,24,38,f,29
7,Yes,6,27,49,m,6
9,No,5,26,31,m,2
9,No,6,26,18,f,4
3,No,8,28,34,m,21
5,No,9,27,37,f,14
8,No,4,27,24,m,8
8,Yes,4,25,42,f,8
4,Yes,9,26,38,f,18
1,No,9,27,41,m,25
1,Yes,7,24,52,m,24
4,No,5,29,49,f,15
6,No,9,21,31,f,12
8,No,9,26,38,m,2
6,No,7,29,36,f,11
9,Yes,9,22,46,f,-3
9,Yes,6,29,22,m,3
2,No,8,27,20,m,21
1,Yes,8,25,49,f,25
2,No,8,23,34,f,24
5,Yes,9,21,46,f,11
4,No,8,26,47,m,15
4,No,5,20,54,m,20
9,No,6,26,23,m,2
8,Yes,8,29,27,f,3
6,Yes,4,29,42,m,12
1,No,9,26,48,f,26
2,Yes,6,29,40,f,22
6,Yes,5,22,24,f,12
2,Yes,8,23,50,m,25
5,Yes,5,23,31,f,14
5,Yes,9,23,44,m,13
6,Yes,8,28,43,m,10
6,Yes,4,25,31,f,15
6,Yes,6,29,26,m,10
2,Yes,4,28,52,m,26
3,Yes,8,23,48,f,19
6,Yes,7,26,21,f,9
8,Yes,6,29,28,m,2
1,Yes,5,28,41,f,25
1,No,8,29,31,m,20
2,No,4,22,19,m,24
6,Yes,9,22,47,m,9
9,Yes,7,25,40,f,0
4,Yes,9,27,22,m,12
3,No,8,20,26,f,18
8,No,5,23,44,f,8
9,Yes,4,27,53,f,4
5,Yes,6,25,32,m,17
9,Yes,7,21,48,m,3
2,Yes,8,27,41,f,19
3,Yes,8,20,42,f,22
7,No,8,20,39,m,11
7,Yes,8,26,52,m,3
6,No,4,29,19,f,12
6,Yes,6,22,54,m,15
2,Yes,5,27,51,m,26
6,No,7,28,44,m,10
4,No,8,27,21,m,17
3,Yes,9,20,54,f,19
2,No,8,20,19,f,24
1,Yes,6,25,46,m,25
5,No,6,20,39,f,13
2,No,4,27,30,f,24
2,Yes,4,25,41,m,21
7,Yes,9,24,45,f,7
8,No,9,25,27,f,7
8,Yes,4,23,36,f,3
4,No,7,20,47,m,14
1,No,9,26,26,m,25
7,Yes,4,29,24,f,8
1,No,8,28,40,m,22
4,Yes,4,23,42,f,18
8,Yes,7,23,43,f,4
2,No,4,28,49,m,25
6,Yes,4,23,51,f,9
6,No,8,29,55,f,9
9,No,9,23,43,f,1
5,Yes,8,27,19,m,10
4,Yes,8,23,34,f,14
5,No,4,28,34,f,15
5,Yes,8,27,55,f,9
8,No,6,24,20,f,5
8,No,5,28,38,m,6
2,No,5,27,27,m,27
7,No,8,29,24,f,8
8,No,9,23,44,m,7
6,Yes,7,23,19,f,11
5,No,8,20,20,m,16
9,No,9,23,23,f,1
3,No,8,27,26,f,20
4,No,4,24,34,m,15
9,No,9,25,22,m,1
6,No,7,23,24,m,13
8,Yes,8,24,30,f,5
7,Yes,6,29,28,f,6
2,No,9,27,47,m,24
3,No,5,28,34,f,19
1,No,9,22,21,f,29
9,Yes,6,29,25,f,-2
7,No,6,23,36,f,10
1,No,6,20,20,f,25
3,No,7,24,41,m,23
4,No,7,23,43,f,16
4,No,9,25,50,m,19
5,No,7,25,48,m,14
3,Yes,5,29,19,f,18
3,No,4,25,25,m,20
1,No,9,22,30,m,24
7,No,8,26,38,f,9
1,No,8,22,24,m,28
2,No,9,25,18,f,20
4,No,4,29,48,m,20
4,No,8,20,28,m,19
5,No,9,27,26,m,10
2,No,9,26,55,f,20
4,Yes,6,28,39,m,20
1,Yes,5,22,34,f,26
2,Yes,8,27,36,f,21
1,No,5,21,33,f,28
4,Yes,9,28,50,f,15
4,Yes,4,20,23,f,17
7,Yes,9,29,18,m,2
9,Yes,8,26,30,m,1
9,No,5,29,41,m,3
5,Yes,6,20,49,f,17
1,Yes,6,25,55,m,22
1,No,9,20,36,f,27
6,Yes,4,23,52,m,13
2,No,7,26,35,m,20
8,Yes,8,21,29,f,4
9,Yes,9,22,24,f,1
4,Yes,6,23,31,f,16
5,No,6,25,29,f,15
8,Yes,4,28,32,f,4
3,Yes,6,23,44,m,24
5,No,8,25,20,f,10
3,Yes,4,26,34,f,21
3,Yes,5,23,50,m,18
3,Yes,4,25,24,f,20
7,Yes,8,22,25,m,12
7,Yes,8,24,42,m,7
7,No,5,29,45,f,13
8,No,9,23,21,m,5
5,No,4,26,33,f,15
5,Yes,8,25,29,m,16
4,Yes,8,26,20,m,15
7,Yes,5,25,34,m,10
4,Yes,7,21,43,f,18
2,Yes,4,26,46,m,28
4,No,8,27,22,m,19
8,No,6,26,52,m,7
9,No,5,23,35,m,6
3,Yes,7,23,46,m,21
7,No,7,24,44,m,10
9,No,5,28,45,f,3
4,No,7,24,30,m,23
3,No,8,21,28,m,16
5,Yes,7,24,53,m,15
1,Yes,4,22,29,f,28
3,No,6,29,35,f,18
8,No,8,27,46,f,1
8,No,5,29,23,m,7
4,No,6,29,33,m,15
2,No,9,21,42,f,24
8,No,8,23,52,f,3
8,No,6,24,52,m,5
4,No,7,23,21,m,20
3,No,9,24,30,m,18
2,Yes,5,29,37,m,25
9,No,5,23,32,f,6
1,Yes,4,22,32,f,30
7,Yes,7,20,48,m,9
5,No,4,23,52,m,14
8,No,4,28,22,f,9
4,Yes,7,20,53,m,17
7,Yes,8,26,29,m,8
5,No,9,22,46,m,16
5,Yes,4,27,40,m,15
9,No,6,25,30,f,2
9,No,9,20,55,m,1
9,Yes,8,29,21,f,0
6,No,7,24,52,f,12
6,Yes,5,27,31,m,11
5,No,8,22,44,f,16
9,No,4,23,20,m,4
8,Yes,6,26,28,m,8
7,Yes,9,25,26,f,7
7,No,7,26,47,f,5
6,No,5,28,52,f,12
5,Yes,9,28,41,f,9
4,No,6,21,44,f,17
3,Yes,5,22,48,f,18
3,Yes,7,23,50,m,26
6,Yes,9,25,25,m,9
4,No,8,24,22,m,15
6,Yes,4,25,22,m,10
3,No,7,27,22,f,18
4,Yes,6,21,53,m,17
9,No,8,25,21,m,2
5,No,9,28,27,m,15
7,Yes,5,24,50,m,13
2,Yes,8,20,21,m,20
5,Yes,8,27,38,m,14
9,No,6,23,23,m,4
3,No,4,27,24,f,19
9,No,8,23,35,m,3
6,Yes,8,27,20,m,12
4,Yes,4,28,29,m,21
7,Yes,4,24,37,f,10
8,Yes,5,24,20,f,6
6,Yes,9,21,39,m,9
5,No,5,28,31,m,15
6,Yes,4,23,47,f,13
5,No,7,22,20,m,18
8,Yes,4,21,21,f,5
1,Yes,5,22,29,m,20
7,Yes,6,23,33,m,7
2,Yes,6,28,38,m,20
9,Yes,9,25,53,m,1
1,No,8,29,41,m,27
6,Yes,6,24,24,f,13
9,No,5,28,51,f,2
1,No,6,27,23,f,24
4,No,7,25,27,f,19
4,No,4,22,28,m,18
9,Yes,4,26,31,m,3
5,Yes,5,29,21,m,13
5,Yes,8,25,29,f,12
6,Yes,4,27,40,f,11
1,Yes,6,25,52,f,29
1,No,7,29,40,f,21
9,Yes,8,23,23,f,-1
3,Yes,8,29,46,m,18
4,No,8,26,40,m,19
1,Yes,4,26,53,m,25
9,Yes,9,27,49,m,4
8,No,8,21,38,f,2
2,Yes,5,25,44,f,23
8,No,6,22,33,f,8
7,No,9,27,32,m,6
6,Yes,7,23,23,f,12
1,No,6,23,41,f,27
7,Yes,5,21,36,m,12
7,Yes,5,25,38,f,8
9,Yes,9,25,45,m,1
1,No,6,20,55,f,25
2,No,4,27,23,m,28
9,No,5,22,51,m,7
9,No,8,20,51,f,5
6,No,7,29,55,m,8
6,No,7,20,44,f,15
4,No,5,20,22,m,21
4,No,8,24,33,m,13
5,No,6,24,52,m,14
3,No,7,20,32,f,19
1,No,8,24,33,m,26
1,Yes,8,26,21,m,21
7,No,4,24,55,f,13
1,Yes,5,28,39,m,25
1,Yes,8,23,49,m,26
3,Yes,6,28,37,m,20
4,Yes,7,27,49,f,19
4,No,4,20,50,f,18
2,Yes,6,23,19,f,25
1,Yes,7,26,41,f,28
3,Yes,5,20,35,f,26
4,No,6,27,52,f,19
3,Yes,7,21,42,m,20
8,Yes,4,27,22,m,6
1,No,7,23,48,m,27
2,No,8,27,51,m,24
7,No,4,20,48,f,12
4,No,6,24,18,m,19
8,No,9,28,24,f,0
